English,Ukrainian
accession agreement,угода про приєднання
accession country,"країна, що вступає (в ЄС); країна, яка готується до вступу (в ЄС); країна -- кандидат до вступу в ЄС; країна -- кандидат у члени ЄС"
accession negotiations,переговори щодо вступу в ЄС
accession strategy,стратегія розширення складу ЄС; порядок прийняття нових членів у ЄС; принципи прийняття нових членів у ЄС
accessority,акцесорність
accessory obligation,акцесорне зобов'язання; додаткове зобов'язання; супровідне зобов'язання
accident at work,виробнича травма
accident prevention,профілактика нещасних випадків; охорона праці; запобігання травмам; техніка безпеки; профілактика виробничого травматизму
accident prevention officer,інженер з техніки безпеки; інспектор з охорони праці
accident waiting to happen (an ~),неминуча випадковість
accommodation acceptance,дружній акцепт
accommodation bill,безгрошовий вексель; дружній вексель
accommodation endorsement,дружній індосамент
accommodation note,безгрошовий вексель; дружній вексель
accompanying document,супровідний документ
accord deference (v.),ставитися з повагою (до діяльності міжнародних фінансових організацій і т. ін.)
account,рахунок; клієнт; покупець
account balance,сальдо рахунка; залишок на рахунку; залишок за рахунком (розм.)
account bank,банк - утримувач рахунка
account book,бухгалтерська книта
account details,реквізити рахунка; найменування рахунка
account dormancy,відсутність руху залишку на рахунку; відсутність руху залишку за рахунком
account executive,"співробітник фірми, що веде даного клієнта; брокер фондової біржі"
account (for ~),з урегулюванням у наступний розрахунковий період
account identification,номер рахунка
account of credit (on ~),в рахунок кредиту; в кредит на рахунок ремітента
account of payee,на рахунок ремітента
account payee,на рахунок ремітента
account payee only (a/c payee),тільки на рахунок ремітента (про чек); підлягає зарахуванню тільки на рахунок ремітента (про чек)
account statement,"виписка з рахунка (повідомлення про перелік операцій щодо зарахування і списання, а також залишку коштів на рахунку); виписка з рахунка; виписка з банківського рахунка"
account with institution,банк бенефіціара
accountability,підзвітність; фінансова відповідальність; облік; звітність
accountant’s opinion,висновок аудитора; висновок зовнішнього аудитора; висновок незалежного аудитора; аудиторський звіт; аудиторський висновок
accounting,бухгалтерський облік; звітність; фінансова звітність
Accounting and Reporting,управління з бухгалтерського обліку і звітності
Accounting  and Reporting ecommendations (ARR),швейцарські принципи бухгалтерського обліку; швейцарські принципи фінансової звітності (одна з вимог для лістингу в Швейцарії)
accounting authority,розрахункова організація
accounting code,номер рахунка (за планом рахунків)
accounting convention,бухгалтерські правила; правила бухгалтерської звітності; правила ведення фінансової звітності
accounting cost,обліковані витрати
accounting entity,об'єкт обліку
accounting equation,балансове рівняння
accounting firm,аудиторська фірма; бухгалтерська фірма (рідко)
accounting information,облікова інформація; бухгалтерська інформація; облікові дані; дані бухгалтерського обліку
accounting law,бухгалтерські норми; норми бухгалтерського обліку; закон про бухгалтерський облік
accounting manager,старший бухгалтер
accounting officer,бухгалтер
accounting period,звітний період
accounting policies,облікова політика; норми бухгалтерського обліку; принципи бухгалтерської звітності; принципи фінансової звітності |МКСФЗ3|
accounting principles,бухгалтерські принципи; норми бухгалтерського обліку; принципи бухгалтерського обліку; принципи фінансової звітності |МКСФЗ3|
accounting procedures,організація бухгалтерського обліку; порядок ведення бухгалтерського обліку
accounting profit,обліковий прибуток
accounting rate,"облікова ставка (обмінний курс, що встановлюється банком для обліку, без зобов'язання купівлі-продажу валюти за цим курсом); обліковий тариф (для розрахунків у міжнародному зв'язку)"
accounting standards,стандарти бухгалтерського обліку; стандарти фінансової звітності |МКСФЗ|
accounting treatment,бухгалтерське проведення; бухгалтерське оброблення; порядок обліку; методика розрахунку; методика обліку; відображення у бухгалтерській звітності; відображення у фінансовій звітності
accounts,бухгалтерська звітність; рахунки; звітність; фінансова звітність; облікова документація; бухгалтерія; фінансовий відділ (на підприємстві)
accounts payable (A/es. Pay.; a/c pay),кредиторська заборгованість; рахунки до сплати; борги; рахунки дебіторів; поточна заборгованість (кредиторам); дебітори за розрахунками; грошові зобов'язання; дебітори
accounts receivable (A/es. Rec.; a/c rec),дебіторська заборгованість; кошти в розрахунках; кредитори з розрахунків; рахунки до одержання; кредитори; права вимоги (за грошовими зобов язаннями); рахунки кредиторів; поточна заборгованість (дебіторів)
accounts receivable financing,фінансування дебіторської заборгованості; фінансування обігового капіталу
accounts uncollectible,безнадійна заборгованість (що підлягає списанню)
accredited bank,акредитований банк; сертифікований банк
accrual,нагромадження; нарахування; нарощування
accrual accounting,"метод обліку, який передбачає запис надходжень від певного циклу економічної активності і витрат, які цей процес супроводжують, в одному звітному періоді; облік за звітними періодами"
accrual basis of accounting,метод нарахування; облік на основі принципу нарахувань
accrual basis (on an ~),"підсумок, що наростає"
accrual of expenditure,наростання витрат; облік витрат у міру виставлення рахунків
accrual of interest,прирощення відсотків (процентів); нарахування відсотків (процентів)
accruals,"відсотки (проценти) з підсумку, що наростає; нараховані видатки; нараховані доходи; нагромаджені відсотки; підсумок, що наростає; нарахування"
accruals and deferred income,відкладені видатки і доходи
accruals method,метод обліку з відвантажень; метод нарахувань
accrue (v.),нагромаджуватися; нараховувати; нараховуватися
accrue from day to day (v.),нараховуватися щодня
accrued benefit valuation method,метод оцінки нарахованої пенсії
accrued depreciation,акумульовані амортизаційні відрахування
accrued expenses,відкладені видатки; нараховані видатки
accrued income,нарахований (але не одержаний) дохід
accrued interest,нараховані відсотки (проценти) (але ще не виплачені); нагромаджений відсоток (процент); відсотковий (процентний) дохід
accrued liabilities,нарахована кредиторська заборгованість
accrued revenue,нарахований дохід
accruing interest,"відсотки (проценти) з підсумком, що наростає"
accruing loan,погашуваний кредит; продуктивний кредит; обслуговуваний кредит; відсотковий (процентний) борг
accumulated compensated absences,нагромаджувані оплачувані відпустки
accumulated depreciation,нагромаджена амортизація; нарахована амортизація; амортизаційний фонд; зношення; нараховане зношення
accumulated earnings,нагромаджені доходи; нараховані доходи
accumulated interest,нагромаджені відсотки (проценти)
accumulated profit,нерозподілений прибуток
accumulated risk,кумулятивний ризик
acid test,коефіцієнт суворої ліквідності
acid test ratio (ATR),співвідношення ліквідних статей балансу банку до депозитів; проміжний коефіцієнт ліквідності
acknowledgement,посвідчення; підтвердження; квитанція
acknowledgement (against ~),під розписку
acquirer,набувач
acquis; acquis communautaire,розроблене законодавство (нормативно-правова база ЄС на момент вступу нового члена)
acquisition,придбання
acquisition commission,комісія (плата) за залучення страхування
acquisition cost,балансова вартість; первісна вартість; вартість придбаного
acquisition fee,комісія з інвестування (стягується пайовим фондом з клієнта за придбання для нього акцій)
acquisition of origin,рішення щодо місця походження товару; встановлення місця походження товару
acquittance,"документ, який звільняє від фінансової відповідальності"
act(s) of God,стихійне лихо; непоборна сила; форсмажор; дія непоборної сили; стихійне природне явище як тип непоборної сили
act of protest,акт вексельного протесту
act(s) of the public enemy,дії ворожої держави
act or omission,дія або бездіяльність
action,дія; позов; позовна вимога; захід
action of detinue,позов щодо зажадання (незаконно утримуваного майна)
action-oriented recommendation,практична рекомендація
action plan,план роботи; план заходів
active account,"чинний рахунок; функціонуючий рахунок; рахунок, за яким відбувається рух залишку; використовуваний рахунок; незакритий рахунок"
active bank operation,активна банківська операція (кредитування і т. ін.)
active banking operation,активна банківська операція (кредитування і т. ін.)
active bond,"непогашена облігація; циркулююча облігація; облігація, що користується попитом; облігація, що є предметом біржової торгівлі"
active capacity,дієздатність
active debt,"відсотковий (процентний) борг; продуктивний кредит; кредит, що обслуговується; (о0бслуговуваний кредит); сплачуваний кредит"
active demand,активний попит
active file,список працівників (підприємства)
active loan,"відсотковий борг; продуктивний кредит; кредит, що обслуговується"
active operation,"продуктивний проект; проект, що функціонує; розроблюваний проект, незавершений проект"
active share,"акція, що є предметом активної торгівлі; акція, яка користується попитом; акція. що циркулює; незакрита акція (предмет ф ючерсної угоди)"
active ship,"експлуатоване судно; судно, що експлуатуєТЬСЯ"
active trading,активна торгівля; вільна торгівля
activity network,сітковий графік
activity plan,план роботи; план заходів; графік заходів
actual budget,фактичний бюджет
actual cost,фактична собівартість
actual demand,фактичний попит; платоспроможний попит; дійсний попит; реальний попит
actual example,"конкретний приклад,"
actual inventory,фактичний рівень запасів; дійсний товар; наявний товар; товар в наявності; наявний запас
actual overheads,фактичні накладні витрати
actual performance,фактичні показники (функціонування проекту); реальний економічний показник
actual price,фактична ціна; реальна ціна; ціна реалізації; ціна продажу; одержана ціна
actual profit,фактичний прибуток; одержаний прибуток
actual total loss (a.t.1.),дійсна повна загибель (предмета страхування); фактична повна загибель (страх.)
actual value,фактична вартість
actuarial assumption,актуарне допущення
actuarial expectation,актуарний розрахунок
actuarial mathematics,страхова математика
actuarial gains and losses,актуарні прибутки й збитки
acturial present value of promised retirement benefits,актуарна дисконтована вартість належних пенсій
ad valorem duty,мито у вигляді відсотка (процента) від вартості товару; податок у вигляді відсотка (процента) від вартості товару; адвалорне мито
ad valorem tariff,вартісний тариф; адвалорне мито
ad valorem tax,мито у вигляді відсотка від вартості товару; податок у вигляді відсотка від вартості товару
adaptive,адаптаційний; пластичний
adaptive expectations,адаптаційні очікування
add-on interest,"відсотки (проценти), які нараховуються на всю суму кредиту (а не лише на його непогашену частину)"
add-on loan,"кредит, який береться частинами (відсотки (проценти) за яким включені в основний борг з самого початку)"
addendum,додаток; алонж
additional collateral,додаткове забезпечення
additional insurance,подвійне страхування
additional insured,додатковий страхувальник
additional premium for short period cover,надбавка за короткостроковість страхування
additional security,додаткове забезпечення
additionality,необхідність участі |ІЄБРР|; мобілізуюча роль |ІЄБРР|; взаємодоповнюваність; додатня (щодо приватного сектора) роль
address sale,адресна поставка; цільова реалізація
addressed bill,домінильований вексель
adjusting entry,коригувальне проведення
adjustment,коригування; результат коригування; коригувальна операція
adjustment bond,реорганізаційна облігація
adjustment for inflation,поправка на інфляцію; індексація на інфляцію; врахування інфляції
adjustment of cost for comparability,індексування витрат
adjustment of insurance premium,перерахунок страхового внеску; перерахунок страхової премії
adjustment of security,перерахунок страхової суми; перерахунок страхового внеску
adjustment on conversion,"сума, належна при конверсії цінних паперів (утримувачу цінного паперу або емітенту)"
adjustment programme,стабілізаційна програма
adjustment table,зіставна таблиця (для перерахунку)
adjustment transaction,коригувальна операція
adjustment (without ?),без коригування
administer funds (v.),розпоряджатися коштами; управляти коштами
administered exchange rate,контрольований обмінний курс; регульований обмінний курс; офіційно встановлений обмінний курс
administered price,регульована ціна; контрольована ціна; негнучка ціна; директивна ціна
administered rate,контрольована ставка (відсоткова); регульована ставка (відсоткова)
administered trade,контрольована торгівля; регульована торгівля
administration costs,"адміністративно-господарські витрати; витрати на управління (піприємством, фондом)"
administration department,адміністративно-господарський відділ
administration fee,комісія з ведення справ; збір за ведення справ; адміністративний збір; збір за управління; комісія з управління кредитом
administration of a bankrupt’s estate,управління конкурсною масою; управління майном банкрута; розпорядження майном збанкрутілої компанії
administration of a special fund,управління спеціальним фондом
administration of assets,розпорядження активами; розпорядження майном; управління активами; управління майном
administration of justice,здійснення правосуддя
administration overheads,адміністративні накладні витрати
administrative act,адміністративний акт
administrative agency,адміністративний орган
administrative assistant,помічник з адміністративних питань; секретар-референт
administrative authority,адміністративний орган
administrative charge,адміністративний збір; збір за управління; комісійний збір (комісія) за ведення справ; збір за ведення справ; комісійний збір (комісія) за управління кредитом
administrative costs,адміністративно-господарські витрати
administrative expenses,адміністративно-господарські витрати; адміністративні витрати
administrative law,адміністративне право
administrative order,адміністративне розпорядження |ЄБРРІ; наказ (на підприємстві)
administrator,арбітражний керівник; конкурсний керівник; розпорядник; адміністратор; діловод; керуючий конкурсною масою; ліквідатор
Administrator of Grant Funds,розпорядник безоплатними коштами
admissible error (AE),припустима похибка; несуттєва помилка
admission,лістинг; котирування; реєстрація нових випусків (цінних паперів) на біржі
admission of appeal,прийняття апеляційної скарги для провадження
admission to listing,"включення цінних паперів до списку таких, що котируються (бірж.)"
admission to official trading,"включення цінних паперів до списку таких, що котируються (бірж.)"
admit as evidence (v.),долучати до справи
adoption of the acquis,прийняття (країнами-кандидатами) напрацьованого (на момент їх вступу в ЄС) законодавства ЄС
adoptive rule,"правозастосовна норма (норма, що вступає в дію після конкретизації нижчих за рангом інстанцій)"
ADR capital raisings,залучення капіталу шляхом випуску американських депозитарних розписок (АДРУ); залучення капіталу шляхом випуску АДР
advance,аванс; кредит; позика
advance call,авансовий внесок
advance contracting,дострокове укладення контрактів; завчасне присудження підрядів
advance corporation tax (ACT),"податок на прибуток (юридичних осіб); податок на дивіденди; авансові платежі з податку на прибуток юридичних осіб (частина податку на прибуток юридичних осіб, що сплачується авансом до остаточного розрахунку суми податку наприкінці податкового року)"
advance on goods,"кредит, забезпечений закладанням товарів; підтоварний кредит"
advance payment,попередня оплата; авансовий платіж; передоплата; плата наперед
advance payment bond,гарантія передоплати; гарантія відшкодування сплачених сум (надається банком)
advance payment guarantee,гарантія передоплати
advance tax ruling,випереджувальне рішення податкових органів (про суму оподаткування конкретної планованої угоди; виноситься після запиту платника податків)
advances account,рахунок авансів
advances/declines ratio,показник підвищення/падіння курсів
advances /declines theory,теорія підвищення/падіння курсів; теорія широти ринку
adverse audit report,несприятливі результати аудиторської перевірки; негативний аудиторський висновок; негативний висновок аудиторів
adverse auditor's report,несприятливі результати аудиторської перевірки; негативний аудиторський висновок; негативний висновок аудиторів
adverse balance,від'ємне сальдо; від'ємний залишок
adverse exchange difference,несприятливе коливання обмінних курсів; несприятлива курсова різниця
adverse judgement,несприятливе судове рішення
adverse opinion,несприятливі результати аудиторської перевірки; негативний аудиторський висновок; негативний висновок аудиторів
adverse rating,несприятливий рейтинг
advertising,розміщення оголошень; розміщення реклами; рекламування
advertising agency,рекламне агентство
advertising budget,витрати на рекламу
advertising effect,ефективність реклами; результат рекламування; результат рекламної кампанії; вплив реклами
advice,авізо; повідомлення; консультування; консультації; банківське повідомлення; повідомлення; повідомлення банком клієнта про відкриття акредитиву на користь клієнта
advise (v.),надавати консультації; направляти повідомлення; авізувати
adviser,радник; консультант
advising bank,"авізуючий банк; банк, що направляє повідомлення; банк, що повідомляє"
Advisory Council  on Foreign Investments at the President of Ukraine,Консультативна рада з іноземних інвестицій при Президентові України
advisory opinion,консультативний висновок; рекомендація; рекомендаційний висновок
advisory services,консультаційні послуги; послуги радників; послуги консультантів
"affect or impair any right, power or remedy (v.)","зачіпати будь-яке право або завдавати йому шкоди, або шкоди повноваженню чи засобу юридичного захисту; зачіпати будь-яке право або применшувати його значення, а також значення повноваження або засобу юридичного захисту"
affected property,обтяжене майно; закладене майно; обтяжене нерухоме майно; закладене нерухоме майно
affidavit (Afft),нотаріально завірена заява; юридично завірений документ; заява під присягою; афідавіт
affiliate,споріднена компанія; партнерська компанія; філіал; афілійована (усиновлена) особа; компаньйон
affiliated company,афілійована приєднана (дочірня) компанія; пов'язана компанія; дочірнє підприємство; підконтрольне підприємство; дочірня компанія; філіал
affinity card,"дисконтна картка; картка лояльного покупця (кредитною карткою не є) заохочувальна картка; картка покупця (для обліку балів, які нараховуються покупцеві за покупки)"
affirmative character,квитанція; знак підтвердження приймання; відбійка (розм.); підтвердження проведення сеансу зв'язку; сигнал підтвердження зв'язку
affirmative project covenant,підтверджене проектне зобов'язання
affordability,доступність за ціною
affordable price,доступна ціна
African Development Bank (ADB),Африканський банк розвитку (АБР)
after-market demand,повторний попит
after-payment,наступний платіж; доплата
after-sight bill,строковий переказний вексель; строкова тратта (підлягає сплаті через певний термін після пред'явлення)
after-swap cost,вартість після правочину (свопу); вартість з урахуванням сплати за правочин (своп)
after tax(es),після сплати податків; після вирахування податків
against receipt,під розписку
age at entry,вік на момент початку страхування
age limit,віковий ліміт
ageing analysis,аналіз за термінами заборгованості (часто простроченої); аналіз за строковістю
agency,агентство; агентські відносини; агентські послуги; відношення представництва; агентський договір; договір доручення; доручення
agency agreement,агентський договір; договір доручення
agency bank,банк-кореспондент
agency by estoppel,представництво внаслідок неспростовної правової презумпції
agency by ratification,представництво з наступним підтвердженням повноважень агента
agency commission,агентський комісійний збір (комісія); агентська винагорода; агентський збір
agency contract,агентський договір
agency fee,агентський комісійний збір (комісія); агентська винагорода; агентський збір
agency line,"агентська лінія; кредитна лінія, надавана на умовах договору доручення"
agency line cofinancing agreement,угода про спільне фінансування агентської лінії; угода про спільне фінансування на умовах договору доручення
agency line framework agreement,рамкова угода про агентські лінії; рамкова угода про реалізацію кредитної лінії на умовах договору доручення
agency line implementation agreement,угода про реалізацію агентської лінії
Agency on Prevention of Bankruptcy  of Enterprises  and Organizations  of Ukraine,Агентство з питань запобігання банкрутству підприємств та організацій України
agency of necessity,представництво як наслідок необхідності
agency Services; agency staff,тимчасові працівники (часто пропоновані спеціалізованими агентствами)
agency transaction,"посередницька операція; угода, укладена через представника"
«Agenda 21» [UN],документ «Порядок денний на ХХІ століття» |ООН|
agent,представник
agent bank,банк-агент
agent fee,плата за агентські послуги; агентська комісія; винагорода за агентські послуги; агентський комісійний збір
agent for service of process,агент для одержання процесуальних документів; агент для вручення судових повісток
agent of necessity,агент з необхідності
aggregate,зведений показник
aggregate amount,сукупна сума; загальна сума; усього; разом
aggregate data,зведені дані
aggregate demand,сукупний попит
aggregate demand curve,крива сукупного попиту
aggregate expenditure,сукупні витрати; загальні витрати
aggregate par value,сумарна номінальна вартість
aggregate supply,сукупна пропозиція
aggregate value,сумарна вартість; повна вартість
aggregation of orders,групування замовлень; укрупнення замовлень; групування підрядів (укрупнення)
aggressive effort,ініціативні дії; енергійне посилення; активний підхід; енергійний захід
ageressive investor,"активний інвестор; ініціативний інвестор; інвестор, який енергійно використовує інвестиційні можливості"
aggressive reduction,"різке зниження; активне зниження (ставок, цін)"
ageressive selling,активні методи збуту; агресивні методи збуту; енергійні зусилля із збуту
agreed minimum value,узгоджена мінімальна вартість
agreed settlement in court,судова мирова угода
Agreement between the Government  of the Ukraine and  the European Bank for Reconstruction and Development regarding the Resident Office of the European Bank for Reconstruction and Development (Resident Office Agreement),Угода між урядом України і Європейським банком реконструкції та розвитку про постійне представництво Європейського банку реконструкції та розвитку (Угода про постійне представництво)
agreement corporation [US],"гарантована державою компанія, яка займається міжнародними банківськими операціями |США|"
Agreement Establishing the European Bank for Reconstruction and Development,Угода про заснування Європейського банку реконструкції та розвитку
agreement for the purchase of receivables,угода про придбання дебіторської заборгованості; угода про придбання прав вимоги; угода про придбання боргів
agreement of a claim,задоволення вимоги; згода задовольнити вимогу; оплата вимоги (звичайно щодо вимог кредиторів при банкрутстві)
agribusiness,"агробізнес, -у; агропромислове виробництво"
